3	6.281100e-09
4	1.193000e-08
5	2.068200e-08
6	3.771400e-08
7	7.156600e-08
8	1.736800e-07
9	5.900100e-07
10	1.386700e-06
11	2.928600e-06
12	5.665000e-06
13	1.126300e-05
14	2.243300e-05
15	4.501000e-05
16	9.293300e-05
17	1.873100e-04
18	3.609100e-04
19	6.994400e-04
20	1.364700e-03
21	2.825200e-03
22	6.329200e-03
23	1.331600e-02
24	2.808800e-02
25	5.790200e-02
26	1.172000e-01
27	2.331100e-01
28	4.671600e-01
29	9.360900e-01
30	1.875600e+00
31	3.723000e+00
32	7.463200e+00
33	1.518000e+01
34	2.971500e+01
